,LU,LDL,LUSparse,NullSpace,RangeSpace
1000,0.10690378460058128,0.07166742320041522,0.274989345799986,0.20606755480039282,0.0849902950001706
1200,0.18314542559965047,0.12030931520057493,0.42130072620129794,0.3552311159997771,0.14422769460070411
1400,0.2908459589991253,0.1900316906001535,0.6402503495999554,0.5737363687992911,0.23184456400049386
1600,0.43740571219968843,0.2874726086003648,0.8644271139994089,0.8390990833991964,0.3408218744014448
1800,0.6031629346005503,0.38351468099936026,1.2330203519988572,1.1692221823985165,0.48237758519971974
2000,0.8411307948001194,0.5289287791994866,1.583078237400332,1.596324795600958,0.6723971141997026
